,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price
137,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,MM Travels,AC Seater (2+2),08:00,08h 10m,16:10,1.0,499
138,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Ram Dalal Holidays,Bharat Benz A/C Sleeper (2+1),23:00,07h 00m,06:00,4.5,509
139,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,FlixBus,A/C Sleeper (2+1),18:30,07h 15m,01:45,4.6,272
140,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,FlixBus,A/C Sleeper (2+1),21:00,07h 15m,04:15,4.6,272
141,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,FlixBus,A/C Sleeper (2+1),22:30,06h 55m,05:25,4.6,500
142,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:00,07h 50m,04:50,4.4,449
143,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Banjara Satguru Travels,A/C Seater / Sleeper (2+2),22:40,06h 06m,04:46,1.5,629
144,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Travel Point,A/C Seater / Sleeper (2+2),21:00,05h 21m,02:21,3.5,759
145,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Shrinath® Travel Agency Pvt. Ltd.,A/C Sleeper (2+1),04:00,08h 15m,12:15,3.5,1200
146,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,ADTC tour and Travels,Bharat Benz A/C Seater / Sleeper (2+2),22:30,05h 25m,03:55,3.3,600
147,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,India Tours & Travels (GetBookCab),A/C Semi Sleeper / Sleeper (2+2),21:45,06h 55m,04:40,3.2,550
148,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,MM Travels,AC Seater (2+2),13:30,07h 00m,20:30,1.6,1599
149,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Travel Point World LLP,A/C Seater / Sleeper (2+2),22:15,05h 45m,04:00,1.5,664
150,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Banjara Satguru Travels,A/C Seater / Sleeper (2+1),22:40,06h 06m,04:46,1.5,629
